,episode_score,mean_reward,episode_step
289,-216.34909,-2.230403,97.0
290,-241.79001,-2.6281524,92.0
291,-227.80595,-2.0709631,110.0
292,-341.3531,-2.9943254,114.0
293,-239.18646,-3.2765267,73.0
294,-261.00668,-2.965985,88.0
295,-329.3862,-3.293862,100.0
296,-241.05388,-2.7707343,87.0
297,-574.7863,-5.805922,99.0
298,-209.93309,-2.956804,71.0
299,-40.66865,-0.4728913,86.0
300,-247.7391,-2.7526567,90.0
301,-244.5786,-3.1763456,77.0
302,-246.9789,-2.655687,93.0
303,-268.85608,-2.800584,96.0
304,-387.96194,-4.1716337,93.0
305,-570.4193,-6.20021,92.0
306,-531.1293,-5.20715,102.0
307,-160.6109,-2.3971777,67.0
308,-259.50595,-2.9489312,88.0
309,-230.85869,-2.3799865,97.0
310,-201.14218,-2.5142772,80.0
311,-389.26593,-3.3849213,115.0
312,-292.8549,-3.4453518,85.0
313,-259.1086,-2.1413934,121.0
314,-234.4458,-2.6947794,87.0
315,-180.44936,-2.284169,79.0
316,-195.96121,-2.0627496,95.0
317,-63.65408,-0.6844525,93.0
318,-254.5708,-2.7670739,92.0
319,-284.67392,-3.1282847,91.0
320,-214.02812,-3.1474724,68.0
321,-209.32802,-2.6836925,78.0
322,-212.78546,-2.2636752,94.0
323,-239.1495,-2.5715,93.0
324,-281.77002,-3.4362197,82.0
325,-344.10623,-3.547487,97.0
326,-239.8099,-2.6352737,91.0
327,-212.22032,-2.7923727,76.0
328,-305.0113,-3.7655716,81.0
329,-204.77238,-2.6943734,76.0
330,-190.3622,-2.7994442,68.0
331,-262.52267,-2.678803,98.0
332,-254.94379,-3.0350451,84.0
333,-257.47983,-2.524312,102.0
334,-232.0466,-2.6368933,88.0
335,-243.88487,-2.2581933,108.0
336,-279.99576,-2.886554,97.0
337,-326.79483,-3.4765408,94.0
338,-283.71753,-3.117775,91.0
339,-264.16672,-2.7517366,96.0
340,-239.59822,-2.7860258,86.0
341,-238.6273,-2.5385883,94.0
342,-100.23052,-1.2075967,83.0
343,-185.12816,-1.7301698,107.0
344,-377.50967,-3.8132288,99.0
345,-241.21614,-2.5391173,95.0
346,-254.38214,-3.4375966,74.0
347,-65.90736,-0.47758955,138.0
348,-193.96056,-2.1314347,91.0
349,-221.38675,-2.0885541,106.0
350,-197.95888,-1.9599888,101.0
351,-244.94928,-2.6338632,93.0
352,-188.26707,-2.268278,83.0
353,-211.77176,-2.2291765,95.0
354,-200.34914,-2.4734461,81.0
355,-15.541062,-0.08179507,190.0
356,-397.8732,-4.680861,85.0
357,-267.81253,-2.9110057,92.0
358,-256.321,-3.2040126,80.0
359,-163.38115,-2.301143,71.0
360,-194.49333,-2.2355556,87.0
361,-208.83795,-2.4004364,87.0
362,-217.19208,-2.2862322,95.0
363,-309.0689,-3.6793919,84.0
364,-243.9724,-2.5413792,96.0
365,-263.84903,-2.9982843,88.0
366,-235.06323,-3.1765301,74.0
367,-241.99026,-2.494745,97.0
368,-200.64131,-2.180884,92.0
369,-208.90514,-2.0683677,101.0
370,-188.22865,-2.138962,88.0
371,-240.20566,-2.7609847,87.0
372,-204.51694,-1.8098844,113.0
373,-255.12796,-2.8036041,91.0
374,-253.564,-2.6412916,96.0
375,-378.56104,-3.473037,109.0
376,-234.81859,-2.4717746,95.0
377,-243.9128,-2.322979,105.0
378,-241.11807,-2.25344,107.0
379,-176.55734,-2.234903,79.0
380,-260.13425,-2.6276188,99.0
381,-219.65143,-2.5841346,85.0
382,-188.70024,-2.3296325,81.0
383,-190.96954,-2.273447,84.0
384,-231.22037,-2.688609,86.0
385,-465.53806,-4.3918686,106.0
386,-250.18336,-2.7193844,92.0
387,-244.22856,-1.9695852,124.0
388,-314.4482,-3.573275,88.0
389,-419.4613,-4.6094646,91.0
390,-200.19957,-2.3833282,84.0
391,-204.50677,-2.2473273,91.0
392,-242.42883,-2.57903,94.0
393,-216.84175,-2.2587683,96.0
394,-278.7829,-2.7331657,102.0
395,-173.31757,-1.3977224,124.0
396,-277.00467,-3.0778298,90.0
397,-315.65445,-2.8183434,112.0
398,-402.8712,-3.9497175,102.0
399,-245.17372,-2.7860649,88.0
400,-248.34895,-2.8545856,87.0
401,-256.88367,-2.5688365,100.0
402,-252.44798,-2.744,92.0
403,-268.2048,-2.629459,102.0
404,-219.71236,-2.7124982,81.0
405,-221.25313,-2.3537567,94.0
406,-228.69467,-2.6592405,86.0
407,-175.70851,-2.2526731,78.0
408,-226.66368,-2.6983771,84.0
409,-321.89178,-3.0083344,107.0
410,-177.36723,-2.1630151,82.0
411,-249.51976,-3.669408,68.0
412,-293.72397,-3.158322,93.0
413,-228.05965,-2.4261665,94.0
414,-277.45737,-3.3836262,82.0
415,-259.2986,-2.6459043,98.0
416,-274.08313,-2.9791644,92.0
417,-296.3951,-3.293279,90.0
418,-168.93176,-2.0110924,84.0
419,-188.47595,-1.9839573,95.0
420,-203.7753,-2.3694804,86.0
421,-243.82266,-2.7091408,90.0
422,-232.25928,-2.3460534,99.0
423,-353.36716,-3.8831556,91.0
424,-198.9776,-2.139544,93.0
425,-201.6214,-2.3720164,85.0
426,-275.68777,-3.0976152,89.0
427,-359.87286,-3.6350794,99.0
428,-492.8005,-4.106671,120.0
429,-392.10446,-3.213971,122.0
430,-232.17517,-2.7639902,84.0
431,-187.15288,-1.7824084,105.0
432,-173.1886,-2.1120563,82.0
433,-112.13135,-0.96664953,116.0
434,-218.59288,-2.4021196,91.0
435,-342.2089,-3.4566553,99.0
436,-187.74171,-2.3467715,80.0
437,-264.41565,-3.0746005,86.0
438,-330.33636,-3.8411205,86.0
439,-94.70707,-1.2141931,78.0
440,-340.39227,-3.8246322,89.0
441,-222.97987,-2.4236941,92.0
442,-269.0539,-2.6377833,102.0
443,-259.9145,-2.8251576,92.0
444,-224.51117,-2.4945686,90.0
445,-218.10144,-2.320228,94.0
446,-246.25226,-2.4625225,100.0
447,-273.11487,-2.7311487,100.0
448,-214.51863,-2.616081,82.0
449,-230.2548,-2.423735,95.0
450,-206.98253,-2.4937654,83.0
451,-397.05997,-4.224042,94.0
452,-271.3277,-3.118709,87.0
453,-367.46716,-3.8277829,96.0
454,-184.91249,-1.9464473,95.0
455,-384.65134,-3.5948725,107.0
456,-210.27953,-2.4738767,85.0
457,-214.11812,-2.9738626,72.0
458,-250.07755,-2.6890059,93.0
459,-225.5986,-2.374722,95.0
460,-213.58955,-2.3998826,89.0
461,-232.63786,-2.5286725,92.0
462,-289.54987,-2.8954985,100.0
463,-230.51982,-2.777347,83.0
464,-216.52826,-3.0932608,70.0
465,-232.9285,-3.32755,70.0
466,-208.31985,-0.3726652,559.0
467,-197.65439,-2.9947634,66.0
468,-104.131134,-0.8605879,121.0
469,-223.08507,-2.5940125,86.0
470,-247.09286,-2.9415817,84.0
471,-293.6801,-3.1578505,93.0
472,-208.86462,-2.4572308,85.0
473,-242.27315,-2.0885615,116.0
474,-320.3751,-3.859941,83.0
475,-354.70038,-3.5470037,100.0
476,-206.15509,-2.6773388,77.0
477,-123.15735,-1.2567077,98.0
478,-126.47774,-1.4537671,87.0
479,-253.96123,-2.2879388,111.0
480,-222.88829,-1.9214509,116.0
481,-228.12877,-2.4269018,94.0
482,-359.89334,-4.089697,88.0
483,-214.08315,-2.0584917,104.0
484,-189.52222,-2.1784163,87.0
485,-226.74211,-2.5476642,89.0
486,-325.19806,-3.7379086,87.0
487,-335.7426,-2.7519886,122.0
488,-349.85098,-3.887233,90.0
489,-144.59103,-1.2795666,113.0
490,-182.76006,-2.1006904,87.0
491,-247.4264,-2.981041,83.0
492,-210.82164,-2.6686285,79.0
493,-460.8612,-4.3891544,105.0
494,-265.3704,-2.7078612,98.0
495,-214.97906,-3.1614568,68.0
496,-235.808,-2.6796365,88.0
497,-218.65424,-1.9877657,110.0
498,-238.61024,-2.6220906,91.0
499,-184.12811,-2.7077663,68.0
500,0.0,0.0,0.0
